"Player","Team","Age","Height","Weight","COLLEGE","COUNTRY","DRAFTYR","DRAFT ROUND","DRAFT NUMBER","GP","PTS","REB","AST","NETRTG","OREB%","DREB%","USG%","TS%","AST%"
"A.J. Lawson","DAL","22","6-6","179","South Carolina","Canada","Undrafted","Undrafted","Undrafted","13.0","2.6","0.8","0.1","-10.9","2.8","15.1","18.2","62.2","2.9"
"AJ Green","MIL","23","6-5","190","Northern Iowa","USA","Undrafted","Undrafted","Undrafted","30.0","4.6","1.2","0.6","-5.9","1.6","9.4","16.3","63.3","9.9"
"AJ Griffin","ATL","19","6-6","220","Duke","USA","2022","1","16","60.0","8.8","2.0","1.0","-0.7","2.2","7.8","17.2","57.5","7.0"
"Aaron Gordon","DEN","27","6-8","235","Arizona","USA","2014","1","4","56.0","16.8","6.8","2.9","13.8","9.0","14.4","20.8","63.8","12.6"
"Aaron Holiday","ATL","26","6-0","185","UCLA","USA","2018","1","23","53.0","4.0","1.2","1.2","-0.6","2.7","6.2","12.8","52.9","11.5"
"Aaron Nesmith","IND","23","6-5","215","Vanderbilt","USA","2020","1","14","59.0","9.6","3.7","1.2","-1.7","3.2","12.0","16.6","54.9","6.7"
"Aaron Wiggins","OKC","24","6-5","190","Maryland","USA","2021","2","55","56.0","6.7","3.1","1.3","1.6","5.4","10.9","14.2","58.9","9.1"
"Admiral Schofield","ORL","25","6-5","241","Tennessee","United Kingdom","2019","2","42","31.0","4.2","1.7","0.8","-5.7","4.8","9.6","12.7","62.4","10.1"
"Al Horford","BOS","36","6-9","240","Florida","Dominican Republic","2007","1","3","53.0","9.9","6.3","2.8","6.4","4.0","15.9","11.8","63.7","11.9"
"Alec Burks","DET","31","6-6","214","Colorado","USA","2011","1","12","51.0","12.8","3.1","2.2","-1.0","1.7","12.4","21.8","60.2","15.0"
"Aleksej Pokusevski","OKC","21","7-0","210","None","Serbia","2020","1","17","31.0","8.8","5.1","2.0","-12.6","6.0","16.3","17.9","53.0","13.1"
"Alex Caruso","CHI","29","6-5","186","Texas A&M","USA","Undrafted","Undrafted","Undrafted","57.0","5.6","3.1","3.1","6.1","2.8","10.3","11.0","57.5","16.0"
"Alex Len","SAC","29","7-2","250","Maryland","Ukraine","2013","1","5","16.0","0.8","0.9","0.3","-12.0","7.7","18.3","14.0","55.3","14.3"
"Alize Johnson","SAS","26","6-8","212","Missouri State","USA","2018","2","50","4.0","1.8","2.5","0.3","19.0","6.3","21.1","14.5","50.9","4.2"
"Alondes Williams","BKN","23","6-4","210","Wake Forest","USA","Undrafted","Undrafted","Undrafted","1.0","0.0","1.0","0.0","-53.0","0.0","25.0","14.3","0.0","0.0"
"Alperen Sengun","HOU","20","6-11","243","None","Turkey","2021","1","16","62.0","14.7","8.7","3.8","-8.4","11.0","19.9","21.4","60.4","20.2"
"Amir Coffey","LAC","25","6-7","210","Minnesota","USA","Undrafted","Undrafted","Undrafted","44.0","3.7","1.2","1.2","-8.2","2.7","5.6","12.8","49.1","12.1"
"Andre Drummond","CHI","29","6-11","279","Connecticut","USA","2012","1","9","54.0","6.2","6.7","0.6","3.2","16.0","34.4","19.7","61.8","6.3"
"Andre Iguodala","GSW","39","6-6","215","Arizona","USA","2004","1","9","7.0","1.6","2.1","2.3","5.8","3.0","11.8","8.7","45.8","18.4"
"Andrew Nembhard","IND","23","6-3","191","Gonzaga","Canada","2022","2","31","61.0","8.1","2.7","4.0","-4.2","1.6","8.1","14.7","51.5","19.6"
"Andrew Wiggins","GSW","28","6-7","197","Kansas","Canada","2014","1","1","37.0","17.1","5.0","2.3","5.2","5.0","10.1","21.2","56.4","10.0"
"Anfernee Simons","POR","23","6-3","181","None","USA","2018","1","24","59.0","21.2","2.6","4.1","-1.5","0.8","6.9","24.8","58.7","18.7"
"Anthony Davis","LAL","30","6-10","253","Kentucky","USA","2012","1","1","43.0","25.9","12.5","2.6","3.0","9.7","25.2","27.9","62.6","12.8"
"Anthony Edwards","MIN","21","6-4","225","Georgia","USA","2020","1","1","68.0","24.8","5.9","4.4","0.9","1.6","14.0","29.0","56.6","18.9"
"Anthony Gill","WAS","30","6-8","230","Virginia","USA","Undrafted","Undrafted","Undrafted","45.0","3.2","1.5","0.5","-0.9","5.9","9.0","10.9","65.0","6.8"
"Anthony Lamb","GSW","25","6-6","227","Vermont","USA","Undrafted","Undrafted","Undrafted","50.0","7.0","3.4","1.7","1.3","4.4","12.3","13.6","61.6","12.1"
"Austin Reaves","LAL","24","6-5","197","Oklahoma","USA","Undrafted","Undrafted","Undrafted","50.0","11.2","2.8","2.7","1.4","1.9","7.5","14.4","66.5","12.8"
