"#","Player","TEAM","GP","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","BLK","TOV","EFF"
"1","Joel Embiid","PHI","54","35.0","33.4","11.1","20.5","53.9","1.1","3.0","35.4","10.2","11.9","85.4","1.8","8.2","10.0","4.1","1.1","1.6","3.4","35.7"
"2","Luka Doncic","DAL","57","36.3","33.0","11.0","22.1","50.0","2.8","7.9","34.9","8.1","11.0","73.6","0.8","7.8","8.6","8.0","1.5","0.5","3.7","34.0"
"3","Damian Lillard","POR","54","36.3","32.1","9.6","20.7","46.6","4.2","11.3","37.3","8.6","9.4","91.9","0.7","3.9","4.7","7.3","0.9","0.3","3.2","30.2"
"4","Shai Gilgeous-Alexander","OKC","57","35.6","31.2","10.3","20.3","50.9","0.9","2.6","34.2","9.7","10.7","90.8","0.9","3.9","4.8","5.6","1.7","1.1","2.9","30.6"
"5","Giannis Antetokounmpo","MIL","52","32.5","31.2","11.0","20.5","53.9","0.8","2.9","28.0","8.3","12.7","65.4","2.3","9.7","11.9","5.5","0.7","0.8","3.9","32.3"
"6","Jayson Tatum","BOS","63","37.4","30.4","10.0","21.5","46.3","3.3","9.4","35.5","7.1","8.3","85.9","1.1","7.8","8.9","4.7","1.0","0.8","2.9","30.2"
"7","Donovan Mitchell","CLE","59","35.6","27.6","9.7","20.3","47.8","3.6","9.4","38.3","4.5","5.2","87.5","0.9","3.2","4.1","4.7","1.5","0.4","2.7","24.3"
"8","Kyrie Irving","DAL","51","37.1","27.2","9.9","20.2","49.1","3.3","8.5","38.2","4.1","4.6","89.7","1.0","4.1","5.1","5.6","1.1","0.7","2.3","26.6"
"9","Ja Morant","MEM","53","32.5","27.1","9.6","20.6","46.3","1.6","5.1","31.6","6.4","8.5","74.4","1.1","4.8","6.0","8.2","1.1","0.2","3.4","26.0"
"10","Trae Young","ATL","61","35.0","26.8","8.5","19.6","43.3","2.2","6.6","33.7","7.6","8.6","88.9","0.8","2.2","3.0","10.1","1.1","0.1","4.1","25.1"
"11","Jaylen Brown","BOS","56","36.1","26.3","9.9","20.3","48.6","2.4","7.3","33.1","4.2","5.4","77.4","1.2","5.7","6.9","3.4","1.2","0.4","3.0","23.6"
"12","De'Aaron Fox","SAC","59","34.1","25.4","9.5","18.5","51.2","1.5","4.7","32.5","4.9","6.3","78.1","0.5","3.7","4.2","6.3","1.2","0.3","2.6","24.4"
"13","Julius Randle","NYK","70","35.9","25.3","8.6","18.7","45.9","2.9","8.4","34.6","5.2","6.9","75.3","2.0","8.3","10.3","4.1","0.7","0.3","2.8","26.0"
"14","Lauri Markkanen","UTA","61","34.4","25.2","8.5","16.9","50.4","3.0","7.5","40.0","5.2","5.9","87.3","1.9","6.6","8.6","1.8","0.6","0.6","1.9","25.7"
"15","DeMar DeRozan","CHI","61","36.2","25.0","9.0","17.8","50.9","0.5","1.6","31.6","6.3","7.3","86.8","0.5","4.1","4.6","5.1","1.0","0.5","2.2","24.2"
"16","Zach LaVine","CHI","63","36.0","24.9","8.7","18.0","48.1","2.8","7.3","38.3","4.8","5.6","84.5","0.5","4.2","4.8","4.0","1.0","0.2","2.6","22.0"
"17","Anthony Edwards","MIN","68","36.4","24.8","9.0","19.6","45.9","2.7","7.4","36.8","4.1","5.3","77.4","0.6","5.3","5.9","4.4","1.7","0.7","3.4","22.3"
"18","Nikola Jokic","DEN","60","33.8","24.7","9.4","14.9","62.8","0.9","2.2","40.8","5.0","6.2","81.3","2.4","9.6","12.0","10.0","1.3","0.7","3.6","38.2"
"19","Pascal Siakam","TOR","58","37.5","24.4","8.8","18.7","47.3","1.4","4.1","34.3","5.4","6.9","77.2","1.8","5.7","7.6","5.9","0.9","0.6","2.5","25.3"
"20","Jalen Brunson","NYK","62","34.9","23.8","8.5","17.4","48.7","1.9","4.7","41.4","4.9","5.9","83.3","0.6","3.0","3.6","6.1","0.9","0.2","2.0","22.7"
"21","Paul George","LAC","52","34.5","23.7","8.1","17.7","45.9","2.9","7.7","37.3","4.6","5.2","88.1","0.8","5.4","6.2","5.2","1.4","0.3","3.2","23.5"
"22","Kristaps Porzingis","WAS","58","32.8","22.9","7.6","15.5","49.2","2.1","5.5","38.4","5.6","6.6","84.2","1.9","6.6","8.5","2.6","0.8","1.5","2.2","25.3"
"23","Jimmy Butler","MIA","54","33.4","22.6","7.4","14.0","52.8","0.6","1.7","33.3","7.2","8.4","85.1","2.3","3.7","6.0","5.1","1.9","0.3","1.7","26.3"
"24","Darius Garland","CLE","59","35.3","22.1","7.6","16.2","47.0","2.6","6.2","42.3","4.2","4.9","85.6","0.4","2.3","2.7","7.9","1.3","0.1","2.9","21.9"
"25","Klay Thompson","GSW","56","32.8","22.0","7.9","18.3","43.3","4.3","10.6","40.7","1.9","2.1","89.7","0.7","3.4","4.1","2.5","0.7","0.3","1.8","17.3"
"26","James Harden","PHI","50","36.8","21.8","6.6","14.6","45.0","2.9","7.3","39.8","5.7","6.6","87.2","0.6","5.6","6.2","10.8","1.1","0.5","3.4","28.3"
"27","Jalen Green","HOU","61","33.6","21.7","7.3","17.8","41.4","2.5","7.5","33.7","4.5","5.7","78.0","0.5","3.3","3.8","3.6","0.7","0.3","2.8","15.7"
"28","Keldon Johnson","SAS","57","32.6","21.6","7.8","17.3","44.8","2.1","6.4","32.3","4.0","5.2","77.0","0.8","4.0","4.9","2.9","0.7","0.2","2.2","17.3"
"29","Bojan Bogdanovic","DET","59","32.1","21.6","7.3","14.9","48.8","2.5","6.0","41.1","4.5","5.1","88.4","0.6","3.2","3.8","2.6","0.6","0.1","2.3","18.1"
"30","Terry Rozier","CHA","59","35.7","21.4","7.9","19.1","41.5","2.7","8.1","33.1","2.9","3.6","80.3","0.9","3.4","4.2","5.0","1.2","0.3","2.2","18.0"
"31","CJ McCollum","NOP","61","35.0","21.2","7.9","18.2","43.6","2.8","7.4","38.5","2.5","3.2","79.5","0.8","3.6","4.4","5.9","0.9","0.5","2.7","19.4"
"32","Kyle Kuzma","WAS","62","35.2","21.2","8.0","17.9","44.7","2.5","7.5","33.2","2.7","3.7","72.7","0.9","6.4","7.3","3.8","0.5","0.5","3.0","19.4"
"33","Anfernee Simons","POR","59","35.0","21.2","7.6","16.9","45.1","3.5","9.1","38.4","2.5","2.7","90.7","0.3","2.4","2.6","4.1","0.7","0.2","2.1","17.3"
