"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Alaa Abdelnaby","1991","1995","F-C","6-10","240","June 24, 1968","Duke"
"Zaid Abdul-Aziz","1969","1978","C-F","6-9","235","April 7, 1946","Iowa State"
"Kareem Abdul-Jabbar*","1970","1989","C","7-2","225","April 16, 1947","UCLA"
"Mahmoud Abdul-Rauf","1991","2001","G","6-1","162","March 9, 1969","LSU"
"Tariq Abdul-Wahad","1998","2003","F","6-6","223","November 3, 1974","Michigan, San Jose State"
"Shareef Abdur-Rahim","1997","2008","F","6-9","225","December 11, 1976","California"
"Tom Abernethy","1977","1981","F","6-7","220","May 6, 1954","Indiana"
"Forest Able","1957","1957","G","6-3","180","July 27, 1932","Western Kentucky"
"John Abramovic","1947","1948","F","6-3","195","February 9, 1919","Salem University"
"Álex Abrines","2017","2019","G-F","6-6","200","August 1, 1993",""
"Precious Achiuwa","2021","2023","F","6-8","225","September 19, 1999","Memphis"
"Alex Acker","2006","2009","G","6-5","185","January 21, 1983","Pepperdine"
"Don Ackerman","1954","1954","G","6-0","183","September 4, 1930","Long Island University"
"Mark Acres","1988","1993","F-C","6-11","220","November 15, 1962","Oral Roberts"
"Bud Acton","1968","1968","F","6-6","210","January 11, 1942","Hillsdale College"
"Quincy Acy","2013","2019","F-C","6-7","240","October 6, 1990","Baylor"
"Alvan Adams","1976","1988","C-F","6-9","210","July 19, 1954","Oklahoma"
"Don Adams","1971","1977","F","6-6","210","November 27, 1947","Northwestern"
"George Adams","1973","1975","F-G","6-5","210","May 15, 1949","Gardner-Webb University"
"Hassan Adams","2007","2009","G","6-4","220","June 20, 1984","Arizona"
"Jaylen Adams","2019","2021","G","6-0","225","May 4, 1996","St. Bonaventure"
"Jordan Adams","2015","2016","G","6-5","209","July 8, 1994","UCLA"
"Michael Adams","1986","1996","G","5-10","162","January 19, 1963","Boston College"
"Steven Adams","2014","2023","C","6-11","265","July 20, 1993","Pitt"
"Rafael Addison","1987","1997","F-G","6-7","215","July 22, 1964","Syracuse"
"Bam Adebayo","2018","2023","C-F","6-9","255","July 18, 1997","Kentucky"
"Deng Adel","2019","2019","F","6-7","200","February 1, 1997","Louisville"
"Rick Adelman*","1969","1975","G","6-1","175","June 16, 1946","Loyola Marymount"
"Jeff Adrien","2011","2015","F","6-7","245","February 10, 1986","UConn"
"Arron Afflalo","2008","2018","G-F","6-5","210","October 15, 1985","UCLA"
"Ochai Agbaji","2023","2023","G","6-5","215","April 20, 2000","Kansas"
"Maurice Ager","2007","2011","G","6-5","202","February 9, 1984","Michigan State"
"Mark Aguirre","1982","1994","F-G","6-6","232","December 10, 1959","DePaul"
"Blake Ahearn","2008","2012","G","6-2","190","May 27, 1984","Missouri State"
"Danny Ainge","1982","1995","G","6-4","175","March 17, 1959","BYU"
"Matt Aitch","1968","1968","F","6-7","230","September 21, 1944","Moberly Area Community College, Michigan State"
"Alexis Ajinça","2009","2017","C-F","7-2","248","May 6, 1988",""
"Henry Akin","1967","1969","C-F","6-10","225","July 31, 1944","Morehead State University"
"Josh Akognon","2013","2013","G","5-11","185","February 10, 1986","Washington State, Cal State Fullerton"
"DeVaughn Akoon-Purcell","2019","2019","G","6-6","200","June 5, 1993","Illinois State"
"Solomon Alabi","2011","2012","C","7-1","251","March 21, 1988","Florida State"
"Mark Alarie","1987","1991","F","6-8","217","December 11, 1963","Duke"
"Gary Alcorn","1960","1961","C","6-9","225","October 8, 1936","Fresno State"
"Santi Aldama","2022","2023","F","6-11","224","January 10, 2001","Loyola (MD)"
"Furkan Aldemir","2015","2015","F-C","6-10","240","August 9, 1991",""
"Cole Aldrich","2011","2018","C","6-11","250","October 31, 1988","Kansas"
"LaMarcus Aldridge","2007","2022","F-C","6-11","250","July 19, 1985","Texas"
"Chuck Aleksinas","1985","1985","C","6-11","260","February 26, 1959","Kentucky, UConn"
"Cliff Alexander","2016","2016","F","6-8","245","November 16, 1995","Kansas"
"Cory Alexander","1996","2005","G","6-1","185","June 22, 1973","Virginia"
"Courtney Alexander","2001","2003","G","6-5","205","April 27, 1977","Virginia, Fresno State"
"Gary Alexander","1994","1994","F","6-7","240","November 1, 1969","South Florida"
"Joe Alexander","2009","2010","F","6-8","230","December 26, 1986","West Virginia"
"Kyle Alexander","2020","2020","F","6-11","220","October 21, 1996","Tennessee"
"Ty-Shon Alexander","2021","2021","G","6-3","195","July 16, 1998","Creighton"
"Victor Alexander","1992","2002","C-F","6-9","265","August 31, 1969","Iowa State"
"Nickeil Alexander-Walker","2020","2023","G","6-6","205","September 2, 1998","Virginia Tech"
"Steve Alford","1988","1991","G","6-2","183","November 23, 1964","Indiana"
"Rawle Alkins","2019","2019","G","6-5","225","October 29, 1997","Arizona"
"Bill Allen","1968","1968","C-F","6-8","205","","New Mexico State"
"Bob Allen","1969","1969","F","6-9","205","July 17, 1946","Marshall"
"Grayson Allen","2019","2023","G","6-4","198","October 8, 1995","Duke"
"Jarrett Allen","2018","2023","C-F","6-11","243","April 21, 1998","Texas"
"Jerome Allen","1996","1997","G","6-4","184","January 28, 1973","Penn"
"Kadeem Allen","2018","2020","G","6-1","200","January 15, 1993","Arizona"
"Lavoy Allen","2012","2017","F-C","6-9","260","February 4, 1989","Temple"
"Lucius Allen","1970","1979","G","6-2","175","September 26, 1947","UCLA"
"Malik Allen","2002","2011","F-C","6-10","255","June 27, 1978","Villanova"
"Randy Allen","1989","1990","F","6-8","220","January 26, 1965","Florida State"
"Ray Allen*","1997","2014","G","6-5","205","July 20, 1975","UConn"
"Tony Allen","2005","2018","G-F","6-4","213","January 11, 1982","Butler County Community College, Oklahoma State"
"Willie Allen","1972","1972","F","6-6","230","February 8, 1949","Miami (FL)"
"Odis Allison","1972","1972","F","6-6","195","October 2, 1949","UNLV"
"Lance Allred","2008","2008","C","6-11","250","February 2, 1981","Utah, Weber State"
"Darrell Allums","1981","1981","F","6-9","220","September 12, 1958","UCLA"
"Morris Almond","2008","2012","G","6-6","225","February 2, 1985","Rice University"
"Derrick Alston","1995","1997","F","6-11","225","August 20, 1972","Duquesne"
"Rafer Alston","2000","2010","G","6-2","171","July 24, 1976","Fresno State"
"Peter Aluma","1999","1999","C","6-10","260","April 23, 1973","Liberty"
"Jose Alvarado","2022","2023","G","6-0","179","April 12, 1998","Georgia Tech"
"John Amaechi","1996","2003","C-F","6-10","270","November 26, 1970","Vanderbilt, Penn State"
"Ashraf Amaya","1996","1997","F","6-8","230","November 23, 1971","Southern Illinois"
"Al-Farouq Aminu","2011","2021","F","6-8","220","September 21, 1990","Wake Forest"
"Lou Amundson","2007","2016","F-C","6-9","220","December 7, 1982","UNLV"
